模型,均值(dBsm),kw,phi,yita,lam,Ht,Nc,Theta,R,Beta
1,-25.784049644270205,0.593,37.3,1.4,20.0,0.264,2.093,5.444,20,9
2,-24.31670592775602,0.688,30.7,11.0,4.3,0.233,2.832,5.675,20,9
3,-26.35732134033004,0.428,62.2,12.4,1.3,0.424,1.694,9.765,10,7
4,-21.523743416841484,0.717,33.0,13.0,6.9,0.466,2.339,9.625,15,10
5,-25.998026036527456,0.675,44.8,16.9,6.3,0.239,2.978,7.821,15,7
6,-25.15041140480505,0.542,50.7,10.4,17.9,0.27,1.992,7.062,20,10
8,-23.94711335230579,0.701,32.9,3.2,12.2,0.242,2.03,7.804,20,10
9,-26.68118962162428,0.705,40.4,16.8,18.7,0.414,1.733,16.295,10,9
10,-19.082245138436743,0.777,34.2,18.0,6.6,0.297,1.201,10.105,15,9
11,-25.19611090070988,0.602,40.3,18.2,18.6,0.355,1.924,10.43,15,9
12,-25.25751754979148,0.404,33.6,9.5,10.1,0.39,2.353,8.441,20,10
13,-24.82912128127728,0.624,36.0,11.7,7.8,0.34,2.361,10.407,20,9
14,-24.276679865608287,0.62,46.7,18.6,2.5,0.379,1.716,10.103,15,7
16,-25.113639283611057,0.505,44.4,3.5,17.2,0.248,2.052,8.26,15,10
18,-24.66566556453692,0.426,46.7,17.4,16.4,0.45,2.153,17.045,20,10
19,-26.626681945528077,0.552,39.6,4.7,14.6,0.35,2.54,10.196,20,7
20,-27.414498785665916,0.531,31.7,6.2,13.3,0.276,1.275,10.658,10,8
21,-22.252118630974916,0.583,53.8,2.4,2.1,0.248,1.425,9.36,20,9
22,-24.441344754244035,0.42,54.8,19.9,19.3,0.273,2.1,9.73,5,10
24,-26.737968439027743,0.523,42.3,13.3,16.6,0.237,1.059,5.093,15,8
26,-23.77226502458996,0.504,57.1,14.4,14.2,0.294,2.774,6.701,20,10
27,-24.78797586479314,0.61,37.8,3.0,1.7,0.492,1.865,12.163,10,9
28,-25.599998193813143,0.478,46.2,8.3,3.3,0.312,2.586,8.846,15,8
29,-25.79935647373824,0.518,38.6,18.7,5.4,0.408,2.939,15.63,10,10
31,-28.04586864642049,0.633,43.6,14.0,7.3,0.209,2.283,7.958,5,8
32,-27.471232692894787,0.469,47.1,10.0,16.7,0.263,1.092,9.199,10,9
33,-27.110950525038696,0.669,36.3,16.0,17.9,0.327,1.453,12.472,10,8
35,-27.43295257631865,0.483,53.5,5.7,11.6,0.397,2.467,12.693,5,7
36,-25.3919642698153,0.606,44.6,16.4,18.3,0.367,1.191,9.237,10,10
37,-27.66802997394041,0.794,34.7,15.2,10.2,0.437,2.879,9.872,10,7
38,-22.880909359210733,0.799,31.8,10.4,17.7,0.319,2.194,8.401,15,8
39,-22.33101342523632,0.705,40.9,8.9,11.0,0.314,2.002,8.038,15,9
41,-21.35358007347972,0.68,45.5,5.2,1.4,0.253,1.769,6.192,10,10
43,-23.7398636570676,0.749,37.1,1.5,16.9,0.201,1.88,4.284,20,9
44,-23.3863457732178,0.499,53.7,19.7,4.1,0.456,1.397,15.061,20,9
45,-25.406143846409705,0.454,56.8,14.4,14.1,0.206,1.012,5.756,15,9
46,-25.770272744614,0.613,37.4,19.6,13.1,0.481,1.602,13.512,20,7
47,-24.825012051474182,0.511,39.6,15.7,10.6,0.285,1.967,11.16,20,10
48,-27.02019746904662,0.65,30.5,15.1,8.9,0.334,2.638,10.085,5,7
49,-24.343868443321668,0.468,42.2,6.0,3.1,0.352,2.559,12.304,15,10
51,-24.08012065462617,0.735,33.0,1.8,3.6,0.369,2.601,12.189,15,8
53,-27.13722778299203,0.554,44.9,12.4,13.7,0.454,2.24,13.766,10,7
54,-27.725838889475938,0.433,37.7,8.1,15.5,0.258,2.263,5.666,10,8
55,-26.06002196601727,0.64,37.5,0.0,9.6,0.419,2.508,9.855,20,7
56,-25.60465334440688,0.54,48.1,15.2,15.7,0.488,2.563,19.147,15,8
57,-23.99282041668184,0.769,31.1,12.1,8.0,0.305,2.061,11.975,20,8
58,-25.72490420609864,0.681,43.6,8.5,13.8,0.311,2.687,11.3,15,8
59,-27.307348158478707,0.408,44.6,16.0,13.0,0.419,1.303,8.822,10,8
61,-22.730217091748813,0.76,32.2,5.5,11.3,0.478,1.07,17.246,10,10
63,-25.597017755318024,0.66,45.0,9.0,7.9,0.216,2.804,5.083,20,8
65,-26.429314739960592,0.486,47.1,0.4,7.5,0.363,1.407,11.025,20,7
67,-22.007999940344437,0.625,50.3,8.2,3.9,0.28,2.385,8.391,20,9
68,-27.465061282541114,0.536,37.9,7.6,11.2,0.425,2.241,11.364,10,7
69,-26.416593815011808,0.588,41.9,9.6,7.1,0.337,1.956,11.998,20,7
71,-27.240634878756325,0.578,46.6,0.8,5.9,0.459,1.599,10.206,10,7
72,-24.82699188320016,0.666,34.9,2.9,9.1,0.411,1.834,13.324,10,10
74,-27.761582175224795,0.71,32.4,6.5,8.6,0.221,2.752,4.599,10,8
75,-26.71560466012569,0.564,49.0,5.0,5.1,0.255,1.514,7.929,15,7
